非洲	Africa
Phú	Praseodimio
Lò-tet-tó	Rhode Island
Ńg	Neodimio
Khûn-chhùng	Insecta
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europio
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Publio Virgilio Marone
Machiavelli	Niccolò Machiavelli
Pîn-sé-fap-nì-â	Pennsylvania
Uetersen	Uetersen
O-kú-sṳ̂-tû	Augusto
Néu Chhe̍t-sî-chû	New Jersey
Fûn-làn-ngî	Lingua finlandese
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasiano
Thù-là-chṳ̂n	Traiano
Hâ-tet-liòng	Publio Elio Traiano Adriano
Khièu-tshṳ-â	Georgia (Stati Uniti d'America)
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marco Aurelio
Zagreb	Zagabria
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	Carolina del Nord
Nàm Khà-lò-lòi-na̍p	Carolina del Sud
Loire-sén	Loira
Pâ-set-lò-nâ	Barcellona
Vòng-lî	Ananas comosus
Me̍t-sî-sî-pí	Mississippi
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	Nuovo Messico
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Lingua hindi
Me̍t-sû-lî	Missouri
Lu-yi-sṳ̂-ôn-ná	Louisiana
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Mare del Nord
Mo̍k-sṳ̂-khô-chû	Oblast' di Mosca
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Magonza
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	Monaco di Baviera
Erfurt	Erfurt
Dresden	Dresda
Kaliningrad-chû	Oblast' di Kaliningrad
Murmansk-chû	Oblast' di Murmansk
Kak-than-sṳ̂-khiet	Danzica
Fap-làn-khiet-fuk	Francoforte sul Meno
Fut-lò-tshṳ-ngá-fû	Breslavia
Làn	Lantanio
Ki (鉕)	Promezio
Sân	Samario
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceh
Nga̍t (釓)	Gadolinio
Thi̍t (鋱)	Terbio
Tit (鏑)	Disprosio
Sṳn-kîn	Bibbia
Fó	Olmio
Ngí (鉺)	Erbio
Tiû	Tulio
Yi	Itterbio
Liu	Lutezio
Hò-nui-sṳ	Hanoi
Chṳ̂n Yâ-sû Kau-fi	Vera Chiesa di Gesù
Yîn-ngî	Lingua inglese
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Bangka-Belitung
Thòi-pet-sṳ	Taipei
Mî (鋂)	Americio
Arkhangelsk-chû	Oblast' di Arcangelo
Khiu̍k	Curio
Thùng-hói-sṳ	Dong Hoi
Concepción	Concepción (Cile)
Pet (鉳)	Berkelio
Khà (鉲)	Californio
Mìn-kú-lû-sén	Bengkulu
Oi	Einsteinio
Fi	Fermio
Mùn	Mendelevio
Na	Nobelio
Ontario-sén	Ontario
Lò	Laurenzio
Karelia Khiung-fò-koet	Repubblica di Carelia
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi
Komi Khiung-fò-koet	Repubblica dei Komi
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	Sumatra Settentrionale
Syktyvkar	Syktyvkar
Québec-sṳ	Québec (città)
Nenets Chhṳ-chhṳ-khî	Circondario autonomo dei Nenec
Liàu-nui-sén	Riau
Leningrad-chû	Oblast' di Leningrado
Pskov-chû	Oblast' di Pskov
Liàu-nui Khiùn-tó-sén	Isole Riau
Nizhny Novgorod-chû	Oblast' di Nižnij Novgorod
Nàm Sû-mùn-tap-lia̍p-sén	Sumatra Meridionale
Lò-mâ Ti-koet	Impero romano
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Oblast' di Tver'
Khù-lû-fû	Kurów
Fa-ho̍k	Chimica
Smolensk-chû	Oblast' di Smolensk
Yaroslavl-chû	Oblast' di Jaroslavl'
Kostroma-chû	Oblast' di Kostroma
Ivanovo-chû	Oblast' di Ivanovo
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Calcio (sport)
Ryazan-chû	Oblast' di Rjazan'
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Sumatra Occidentale
Tula-chû	Oblast' di Tula
IPad	IPad
Mâ-tet-lî	Madrid
Bryansk-chû	Oblast' di Brjansk
Michael Jackson	Michael Jackson
Kaluga-chû	Oblast' di Kaluga
Loire-Atlantique-sén	Loira Atlantica
Ain-sén	Ain
Allier-sén	Allier
Khâm-phì-là	Canberra
Sông Alpes-sén	Alte Alpi
Oryol-chû	Oblast' di Orël
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Alpi dell'Alta Provenza
Liu̍k-set	Verde
Alpes-Maritimes-sén	Alpi Marittime (dipartimento)
Hâ-tet-sùn-hò	Hudson
Me̍t-ngì-pún	Melbourne
Fùng-set	Rosso
Ardèche-sén	Ardèche
Jena	Jena
Kursk-chû	Oblast' di Kursk
Ariège-sén	Ariège
Aude-sén	Aude
Aveyron-sén	Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	Nuovo Galles del Sud
Bouches-du-Rhône-sén	Bocche del Rodano (dipartimento)
Àu-thai-li-â Sú-tû Liâng-thi	Territorio della Capitale Australiana
Cantal-sén	Cantal
Belgorod-chû	Oblast' di Belgorod
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme
Finistère-sén	Finistère
Voronezh-chû	Oblast' di Voronež
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Oblast' di Lipeck
Van-tan-sén	Banten
Chûng Cháu-ôa-sén	Giava Centrale
Fùi-sên	Cometa
Rostov-chû	Oblast' di Rostov
Tûng Cháu-ôa-sén	Giava Orientale
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Giacarta
Sî Cháu-ôa-sén	Giava Occidentale
Adygea Khiung-fò-koet	Adighezia
Ngit-ngiâ Thi-fông Thi̍t-khî	Yogyakarta
Gera	Gera
Maykop	Majkop
Cháu-ôa-tó	Giava
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Piccole Isole della Sonda
Sû-lâ-vî-sî-tó	Sulawesi
Mô-lu̍k-kâ Khiùn-tó	Molucche
Chûng Kâ-lî-man-tân-sén	Kalimantan Centrale
Tûng Kâ-lî-man-tân-sén	Kalimantan Orientale
Nàm Kâ-lî-man-tân-sén	Kalimantan Meridionale
Kâ-li-sî-â	Galizia (Spagna)
Sî Kâ-lî-man-tân-sén	Kalimantan Occidentale
Thai-ho̍k	Università
Pretoria	Pretoria
Chok-khiù	Tennistavolo
Â-sṳ̂-thù-lî-â-sṳ̂	Asturie
Wikipedia:Sandbox	Wikipedia:Pagina delle prove
Astrakhan-chû	Oblast' di Astrachan'
Kham-thap-pu-lî-â	Cantabria
