आफ्रिकाखण्डः	Africa
धर्मशास्त्रम्	Dharmaśāstra
चुरूमण्डलम्	Distretto di Churu
ओङ्कारेश्वरः	Omkareshwar
क्लव्डी ईदर्ली	Claude Eatherly
चिक्कोडी	Chikodi
चिकल्धारा	Chikhaldara
ऐतरेयोपनिषत्	Aitareya Upaniṣad
माण्डूक्योपनिषत्	Māṇḍūkya Upaniṣad
कोलासिब	Kolasib
प्राचीनवास्तुविद्या	Vastu
भारतस्य शासनप्रणालिः	Politica dell'India
अयस्कान्तचिकित्सा	Magnetoterapia
कामः	Kamaloka
समुद्रगुप्तः	Samudragupta
दार्जिलिङ्गमण्डलम्	Distretto di Darjeeling
जयपुरमण्डलम्	Distretto di Jaipur
सातारामण्डलम्	Distretto di Satara
डाङ्गमण्डलम्	Distretto di Dang
सूर्यनमस्काराः	Surya Namaskara
कामेट् (शिखरम्)	Kāmet
नदियामण्डलम्	Distretto di Nadia
सोमनाथः	Somnath
मिर्जापुरमण्डलम्	Distretto di Mirzapur
गोरखपुरमण्डलम्	Distretto di Gorakhpur
सर्पगन्धः	Rauvolfia serpentina
कूचिपुडी	Kuchipudi
दुर्गापूजा	Durga Puja
गुडः	Jaggery
भारतस्य मण्डलानि	Distretti dell'India
पर्वतारोहणक्रीडा	Arrampicata
दमन	Distretto di Daman
खरोष्ठी	Kharoshthi
दौसामण्डलम्	Distretto di Dausa
दण्डी	Dandin
दमोह	Damoh
दतिया	Datia
डङ्कपुरम्	Dakor
चुरू	Churu
दीग	Deeg
पीलीभीत्	Pilibhit
धौलपुरमण्डलम्	Distretto di Dholpur
माण्डिनो डि लूज्जि	Mondino dei Liuzzi
मीनराशिः	Pesci (astrologia)
दाहोद	Dahod
धौलपुरम्	Dholpur
डुङ्गरपुरमण्डलम्	Distretto di Dungarpur
देवास	Dewas
सम्भल्पुर मण्डलम्	Distretto di Sambalpur
द्वापरयुगम्	Dvapara Yuga
अलाबु	Lagenaria siceraria
गाझिपुरमण्डलम्	Distretto di Ghazipur
वाराणसीमण्डलम्	Distretto di Varanasi
रायबरेलीमण्डलम्	Distretto di Raebareli
त्रिपिटकम् (बौद्धदर्शनम्)	Canone buddhista
उदयपुरमण्डलम्	Distretto di Udaipur
जटायुः	Jatayu
पटोलः	Trichosanthes cucumerina
विष्णुपुराणम्	Vishnu Purana
विकिपीडिया:वैज्ञानिक-शब्दावलिः/A	Pandit
संन्यासाश्रमः	Sannyasa
मोरादाबादमण्डलम्	Distretto di Moradabad
दीर्घकालीना उत्क्रान्तिः - पराक्रान्ता	LTE Advanced
जलपाइगुडिमण्डलम्	Distretto di Jalpaiguri
कोट्टयममण्डलम्	Distretto di Kottayam
जौनपुरमण्डलम्	Distretto di Jaunpur
एर्णाकुलम् मण्डलम्	Distretto di Ernakulam
हनुमानगढमण्डलम्	Distretto di Hanumangarh
महाराजागञ्जमण्डलम्	Distretto di Maharajganj
सुल्तानपुरमण्डलम्	Distretto di Sultanpur
टिहरीगढवालमण्डलम्	Distretto di Tehri Garhwal
सीमानियन्त्रणरेखा	Linea di controllo
भारतस्य राजनैतिकपक्षाः	Partiti politici in India
जगन्नाथः	Jagannatha
दुमका	Dumka
चालुक्यवंशः	Chalukya
मञ्जुल भार्गव	Manjul Bhargava
भीष्‍मः	Bhisma
साबरमती आश्रमः	Ashram Sabarmati
वर्गः:जर्मनीदेशः	Categoria:Germania
वर्गः:रशियादेशः	Categoria:Russia
वर्गः:चीनादेशः	Categoria:Cina
मदर इण्डिया	Madre India
वर्गः:भारतम्	Categoria:India
करौलीमण्डलम्	Distretto di Karauli
श्रीगङ्गानगरमण्डलम्	Distretto di Ganganagar
जैसलमेरमण्डलम्	Distretto di Jaisalmer
सीकरमण्डलम्	Distretto di Sikar
साङ्गलीमण्डलम्	Distretto di Sangli
रायचूरुमण्डलम्	Distretto di Raichur
पूर्वमेदिनीपुर-मण्डलम्	Distretto di Midnapore Est
जोधपुरमण्डलम्	Distretto di Jodhpur
तिरुपतिः	Tirupati
क्षत्रियः	Kshatriya
फिरोझाबाद्	Firozabad
वर्गः:इण्डोनेशियादेशः	Categoria:Indonesia
वर्गः:पाकिस्तानम्	Categoria:Pakistan
वर्गः:विश्वपरम्परास्थानानि	Categoria:Patrimoni dell'umanità
गढवालविभागः	Divisione del Garhwal
जालौरमण्डलम्	Distretto di Jalore
विसर्गः	Visarga
जीवन्तीवृक्षः	Terminalia
झालावाडमण्डलम्	Distretto di Jhalawar
झुञ्झुनुमण्डलम्	Distretto di Jhunjhunu
सुबर्नपुर मण्डलम्	Distretto di Subarnapur
प्रतापगढमण्डलम्, उत्तरप्रदेशः	Distretto di Pratapgarh
हावडामण्डलम्	Distretto di Howrah
कदम्बवंशः	Kadamba (famiglia)
रामपुरम्, उत्तरप्रदेशः	Rampur
सवाई माधोपुरमण्डलम्	Distretto di Sawai Madhopur
नागौरमण्डलम्	Distretto di Nagaur
वैशाली	Vaishali
कटुः	Piccante
मवुमण्डलम्	Distretto di Mau
शबरीमलै	Sabarimala
चूलिकामापिका	Contafiletti
गजेन्द्रगड	Gajendragarh
एटा	Etah (India)
फतेहपुरम्, उत्तरप्रदेशः	Fatehpur
मुर्शिदाबादमण्डलम्	Distretto di Murshidabad
कोडगुमण्डलम्	Distretto di Kodagu
ग्यानपुरम्	Gyanpur
शुक्लाफाँट वन्यपशु आरक्षणकेन्द्रम्	Riserva naturale di Suklaphanta
प्रतापगढमण्डलम् (राजस्थानम्)	Distretto di Pratapgarh (Rajasthan)
पम्पः	Abhinava Pampa
यष्टिकन्दुकक्रीडा	Hockey
सत्ययुगम्/कृतयुगम्	Satya Yuga
नन्दुरबारमण्डलम्	Distretto di Nandurbar
प्रतापगढ (राजस्थानम्)	Pratapgarh (Rajasthan)
विदिशा	Vidisha
राजमहेन्द्री-नगरम्	Rajahmundry
हैदराबाद्, पाकिस्तानम्	Hyderabad (Pakistan)
युगम्	Yuga
पठानकोट	Pathankot
उस्मानाबादमण्डलम्	Distretto di Osmanabad
सागर, कर्णाटकम्	Sagar (Karnataka)
खण्डवा-नगरम्	Khandwa
कौरवाः	Kaurava
सबीर भाटिया	Sabeer Bhatia
भारतीय प्रौद्यौगिकी संस्थानम् बाम्बे	Indian Institute of Technology di Bombay
हरदा	Harda
हनुमानगढ	Hanumangarh
गोधरा	Godhra
हरदोयी	Hardoi
गोकाक	Gokak
हिम्मतनगरम्	Himmatnagar
हुम्नाबाद्	Homnabad
राबर्ट्स्गञ्ज	Robertsganj
हाथरस	Hathras
बिजापुरमण्डलम्	Distretto di Bijapur
खुशवन्त सिंह	Khushwant Singh
रामानुजाचार्यः	Ramanuja
बुलन्दशहरमण्डलम्	Distretto di Bulandshahr
हुक्केरी	Hukeri
लखीमपुरखीरीमण्डलम्	Distretto di Lakhimpur Kheri
खेडामण्डलम्	Distretto di Kheda
मेरठमण्डलम्	Distretto di Meerut
माद्री	Madri
हिन्दुस्तानीशास्त्रीयसङ्गीतम्	Musica indostana
रामनवमी	Rama Navami
रत्नगिरिमण्डलम्	Distretto di Ratnagiri
अमरावतीमण्डलम्	Distretto di Amravati
अङ्गुल्-मण्डलम्	Distretto di Angul
त्रेतायुगम्	Treta Yuga
पोरबन्दरमण्डलम्	Distretto di Porbandar
हरदोयीमण्डलम्	Distretto di Hardoi
पूर्वसिक्किममण्डलम्	Distretto del Sikkim Orientale
साबरकाठामण्डलम्	Distretto di Sabarkantha
गान्धीनगरमण्डलम्	Distretto di Gandhinagar
लखनौमण्डलम्	Distretto di Lucknow
मथुरामण्डलम्	Distretto di Mathura
इलाहाबादमण्डलम्	Distretto di Allahabad
एटामण्डलम्	Distretto di Etah
उत्तरकाशीमण्डलम्	Distretto di Uttarkashi
गाझियाबादमण्डलम्, भारतम्	Distretto di Ghaziabad
पञ्चमहालमण्डलम्	Distretto di Panchmahal
उत्तरसिक्किममण्डलम्	Distretto del Sikkim Settentrionale
मुरैना	Morena (città)
गौतमबुद्धनगरमण्डलम्	Distretto di Gautam Buddha Nagar
यादगिरिमण्डलम्	Distretto di Yadgir
बीदरमण्डलम्	Distretto di Bidar
धारवाडमण्डलम्	Distretto di Dharwad
नर्मदामण्डलम्	Distretto di Narmada
सोलापुरमण्डलम्	Distretto di Solapur
नाशिकमण्डलम्	Distretto di Nashik
चन्द्रपुरमण्डलम्	Distretto di Chandrapur
जळगावमण्डलम्	Distretto di Jalgaon
नैनितालमण्डलम्	Distretto di Nainital
कोल्हापुरमण्डलम्	Distretto di Kolhapur
सुरतमण्डलम्	Distretto di Surat
सहारनपुरमण्डलम्	Distretto di Saharanpur
पुणेमण्डलम्	Distretto di Pune
जुनागढमण्डलम्	Distretto di Junagadh
नवसारीमण्डलम्	Distretto di Navsari
बागपतमण्डलम्	Distretto di Bagpat
नागपुरमण्डलम्	Distretto di Nagpur
चमोलीमण्डलम्	Distretto di Chamoli
बरेलीमण्डलम्	Distretto di Bareilly
धुळेमण्डलम्	Distretto di Dhule
परभणीमण्डलम्	Distretto di Parbhani
आणन्द	Anand
गडचिरोलीमण्डलम्	Distretto di Gadchiroli
यवतमाळमण्डलम्	Distretto di Yavatmal
वाशिममण्डलम्	Distretto di Washim
जालनामण्डलम्	Distretto di Jalna
दक्षिण सिक्किम् मण्डलः	Distretto del Sikkim Meridionale
रुद्रप्रयागमण्डलम्	Distretto di Rudraprayag
अल्मोडामण्डलम्	Distretto di Almora
ऊधमसिंहनगरमण्डलम्	Distretto di Udham Singh Nagar
हर्षचरितम्	Harṣacarita
नुवापाद मण्डलम्	Distretto di Nuapada
औरैयामण्डलम्	Distretto di Auraiya
सीतापुरमण्डलम्	Distretto di Sitapur
बहरैचमण्डलम्	Distretto di Bahraich
शाहजहानपुरमण्डलम्	Distretto di Shahjahanpur
भण्डारामण्डलम्	Distretto di Bhandara
फैजाबादमण्डलम्	Distretto di Faizabad
महोबा	Mahoba
महामायानगरमण्डलम्	Distretto di Hathras
रायसेनमण्डलम्	Distretto di Raisen
राजकोटमण्डलम्	Distretto di Rajkot
विदिशामण्डलम्	Distretto di Vidisha
बदांयूमण्डलम्	Distretto di Budaun
पाटणमण्डलम्	Distretto di Patan
बैतूलमण्डलम्	Distretto di Betul
इटावामण्डलम्	Distretto di Etawah
बागेश्वरमण्डलम्	Distretto di Bageshwar
महोबामण्डलम्	Distretto di Mahoba
रामपुरमण्डलम्	Distretto di Rampur
सिद्धार्थनगरमण्डलम्	Distretto di Siddharthnagar
देहरादूनमण्डलम्	Distretto di Dehradun
मैनपुरीमण्डलम्	Distretto di Mainpuri
बारा	Baran (città)
राजपीपळा	Rajpipla
पुरी मण्डलम्	Distretto di Puri
साइहामण्डलम्	Distretto di Saiha
राजगढमण्डलम्	Distretto di Rajgarh
कुशीनगरमण्डलम्	Distretto di Kushinagar
पश्चिममेदिनीपुर-मण्डलम्	Distretto di Midnapore Ovest
दावणगेरेमण्डलम्	Distretto di Davanagere
मन्दसौरमण्डलम्	Distretto di Mandsaur
काळहंदि मण्डलम्	Distretto di Kalahandi
रि-भोई	Distretto di Ri Bhoi
अम्रोहामण्डलम्	Distretto di Jyotiba Phule Nagar
मण्डीमण्डलम्	Distretto di Mandi
फर्रुकाबादमण्डलम्	Distretto di Farrukhabad
मयूर्भंझ् मण्डलम्	Distretto di Mayurbhanj
पूर्व-इम्फालमण्डलम्	Distretto di Imphal Est
गोन्दियामण्डलम्	Distretto di Gondia
जैनतियाहिल्स्	Distretto dei Monti Jaintia
उत्तरत्रिपुरामण्डलम्	Distretto del Tripura Settentrionale
शिमलामण्डलम्	Distretto di Shimla
नवसारी	Navsari
झाबुआ	Jhabua
मन्दसौर	Mandsaur
महेसाणा	Mehsana
महुवा	Mahuva
खीरी	Kheri
लोणावळा	Lonavala
नवादा	Nawada
गोण्डामण्डलम्	Distretto di Gonda
बिजनौरमण्डलम्	Distretto di Bijnor
उन्नावमण्डलम्	Distretto di Unnao
झान्सीमण्डलम्	Distretto di Jhansi
पूर्व खासिहिल्स्	Distretto dei Monti Khasi Orientali
पिथौरागढमण्डलम्	Distretto di Pithoragarh
सन्तकबीरनगरमण्डलम्	Distretto di Sant Kabir Nagar
श्रावस्तीमण्डलम्	Distretto di Shravasti
वलसाडमण्डलम्	Distretto di Valsad
फतेहपुरमण्डलम्	Distretto di Fatehpur
कौशाम्बीमण्डलम्	Distretto di Kaushambi
फिरोझाबादमण्डलम्	Distretto di Firozabad
गजपति मण्डलम्	Distretto di Gajapati
कोरापुट् मण्डलम्	Distretto di Koraput
ऐजोलमण्डलम्	Distretto di Aizawl
ललितपुरमण्डलम्	Distretto di Lalitpur (India)
कोलासिबमण्डलम्	Distretto di Kolasib
लुङ्गलैमण्डलम्	Distretto di Lunglei
पश्चिमत्रिपुरामण्डलम्	Distretto del Tripura Occidentale
बलरामपुरमण्डलम्	Distretto di Balrampur
ढॆण्कनाल् मण्डलम्	Distretto di Dhenkanal
लातूरमण्डलम्	Distretto di Latur
पचमढी	Pachmarhi Cantonment
मूडबिद्रि	Mudbidri
मोहाली	Sahibzada Ajit Singh Nagar
उत्तरकाशी	Uttarkashi
खरगौन	Khargone
शृङ्गेरी	Sringeri
दौसा	Dausa
नरसिंहपुरम्	Narsinghpur
२०१३	Morti nel 2013
आहवा	Ahwa
व्यारा	Vyara
चम्पायमण्डलम्	Distretto di Champhai
स्तोत्रकाव्यम्	Stotra
वर्गः:हिन्दुधर्मः	Categoria:Induismo
छिन्दवाडामण्डलम्	Distretto di Chhindwara
भासः	Bhāsa
जमखण्डि	Jamkhandi
गौरी शङ्कर कलिता	Gauri Shankar Kalita
गङ्गवंशः	Ganga occidentali
कासगञ्ज	Kasganj
गुरु तेगबहादुर	Guru Tegh Bahadur
रायगडमण्डलम्(महाराष्ट्रम्)	Distretto di Raigad
महेसाणामण्डलम्	Distretto di Mehsana
हमीरपुरमण्डलम्, उत्तरप्रदेशः	Distretto di Hamirpur (Uttar Pradesh)
उत्तरदिनाजपुर-मण्डलम्	Distretto del Dinajpur Settentrionale
खटक् मण्डलम्	Distretto di Cuttack
बालेश्वर् मण्डलम्	Distretto di Balasore
देवासमण्डलम्	Distretto di Dewas
शिवपुरी	Shivpuri
गुना	Guna (città)
मालदामण्डलम्	Distretto di Malda
श्रेया घोषाल्	Shreya Ghoshal
दक्षिणदेहलीमण्डलम्	Distretto di Delhi Sud
पश्चिम खासिहिल्स्	Distretto dei Monti Khasi Occidentali
जोवाइ	Jowai
स्वामी नित्यानन्दः	Paramahamsa Nithyananda
सीहोर	Sehore
शाहजहानपुरम्	Shahjahanpur
ग्वालियरमण्डलम्	Distretto di Gwalior
झाबुआमण्डलम्	Distretto di Jhabua
मुम्बई-उपनगर-मण्डलम्	Distretto Suburbano di Mumbai
धर्मानन्द दामोदर कोसम्बी	Damodar Dharmananda Kosambi
सागरमण्डलम्	Distretto di Sagar
केन्दुझर् मण्डलम्	Distretto di Kendujhar
खण्डवामण्डलम्	Distretto di Khandwa
पूर्वगारोहिल्स्-मण्डलम्	Distretto dei Monti Garo Orientali
शहडोलमण्डलम्	Distretto di Shahdol
पौडीगढवालमण्डलम्	Distretto di Pauri Garhwal
कान्धमाल् मण्डलम्	Distretto di Kandhamal
हमीररपुरमण्डलम्, हिमाचलप्रदेशः	Distretto di Hamirpur (Himachal Pradesh)
सेरसिपमण्डलम्	Distretto di Serchhip
लौङ्गत्लायमण्डलम्	Distretto di Lawngtlai
धलाइमण्डलम्	Distretto di Dhalai
रुद्रप्रयागः	Rudraprayag
महेश् बाबु	Mahesh Babu
हिङ्गोलीमण्डलम्	Distretto di Hingoli
बैतूल-नगरम्	Betul
अमरावती (आन्ध्रप्रदेशः)	Amaravati
जाजपुर मण्डलम्	Distretto di Jajpur
नेकचन्दः	Nek Chand
बीरभूममण्डलम्	Distretto di Birbhum
बांकुडामण्डलम्	Distretto di Bankura
कलकातामण्डलम्	Distretto di Calcutta
जालौनमण्डलम्	Distretto di Jalaun
चित्रकूटमण्डलम्	Distretto di Chitrakoot
कानपुरनगरमण्डलम्	Distretto di Kanpur Nagar
खानापुरम्	Khanapur
बुरहानपुरमण्डलम्	Distretto di Burhanpur
यानम् मण्डलम्	Distretto di Yanam
बडवानीमण्डलम्	Distretto di Barwani
बान्दामण्डलम्	Distretto di Banda
गोलत्वमापिका	Sferometro
मङ्गलयानम्	Mars Orbiter Mission
मत्स्यासनम्	Matsyasana
हरदामण्डलम्	Distretto di Harda
लुङ्गलै	Lunglei
धनूराशिः	Sagittario (astrologia)
दतियामण्डलम्	Distretto di Datia
सिवनीमण्डलम्	Distretto di Seoni
लक्ष्मेश्वरम्	Lakshmeshwar
कोळ्ळेगालः	Kollegal
मधुगिरिः	Madhugiri
अशोकनगरमण्डलम्	Distretto di Ashoknagar
पौडी	Pauri
टिहरी	Tehri
पिथौरागढ	Pithoragarh
संस्कृतस्य प्रयोजनम्	Imp
देवघर् मण्डलम्	Distretto di Deogarh
हरिद्वारमण्डलम्	Distretto di Haridwar
खरगौनमण्डलम्	Distretto di Khargone
बुद्धचरितम्	Buddhacarita
सवदत्ती	Saundatti-Yellamma
भद्रावती	Bhadravati
मैनपुरी	Mainpuri
सिवनी	Seoni
टीकमगढ	Tikamgarh
श्योपुरम्	Sheopur
किन्नौरमण्डलम्	Distretto di Kinnaur
पाकुरमण्डलम्	Distretto di Pakur
सुन्दरगर् मण्डलम्	Distretto di Sundergarh
सीहोरमण्डलम्	Distretto di Sehore
शिवपुरीमण्डलम्	Distretto di Shivpuri
कुमाऊंविभागः	Divisione del Kumaon
धारमण्डलम्	Distretto di Dhar
अनूपपुरमण्डलम्	Distretto di Anuppur
नागौर	Nagaur
रतलाममण्डलम्	Distretto di Ratlam
केन्द्रपारमण्डलम्	Distretto di Kendrapara
उनामण्डलम्	Distretto di Una
गिरिडीहमण्डलम्	Distretto di Giridih
गढवामण्डलम्	Distretto di Garhwa
दक्षिण २४ परगणामण्डलम्	Distretto dei 24 Pargana Sud
पश्चिम-गारो-हिल्स्-मण्डलम्	Distretto dei Monti Garo Occidentali
दक्षिण-गारो-हिल्स्-मण्डलम्	Distretto dei Monti Garo Meridionali
बारामण्डलम्	Distretto di Baran
मञ्झानपुरम्	Manjhanpur
पडरौना	Padrauna
मुरैनामण्डलम्	Distretto di Morena
चित्रकूटधाम (कार्वी)	Chitrakoot Dham
नरसिंहपुरमण्डलम्	Distretto di Narsinghpur
पन्नामण्डलम्	Distretto di Panna
मण्डलामण्डलम्	Distretto di Mandla
भिण्डमण्डलम्	Distretto di Bhind
नीमचमण्डलम्	Distretto di Neemuch
नोङ्गस्तोइन्	Nongstoin
वल्लभाचार्यः	Vāllabhacārya
अद्वैतवेदान्तः	Advaita Vedānta
शाजापुरम्	Shajapur
रायसेन	Raisen
तीर्थहळ्ळी	Tirthahalli
पुरन्दरदासः	Purandara Dasa
अदलाज् सोपानकूपाः	Adalaj
लेपाक्षी	Lepakshi
गदगमण्डलम्	Distretto di Gadag
मत्स्यपुराणम्	Matsya Purāṇa
बौद मण्डलम्	Distretto di Boudh
मुजफ्फरनगरम्	Distretto di Muzaffarnagar
नयागर् मण्डलम्	Distretto di Nayagarh
दक्षिणदिबाङ्गव्यालीमण्डलम्	Distretto della Bassa Valle del Dibang
दक्षिणपश्चिमदेहलीमण्डलम्	Distretto di Delhi Sud Ovest
निम्बार्काचार्यः	Nimbarka
नबरंगपुर मण्डलम्	Distretto di Nabarangpur
डिण्डोरीमण्डलम्	Distretto di Dindori
वाक्तत्त्वम्	Vāc
गोण्डा	Gonda
तृश्शूरमण्डलम्	Distretto di Thrissur
राजसमन्द	Rajsamand
कुरुङ्गकुमेमण्डलम्	Distretto di Kurung Kumey
टीकमगढमण्डलम्	Distretto di Tikamgarh
छतरपुरमण्डलम्	Distretto di Chhatarpur
सीधीमण्डलम्	Distretto di Sidhi
शाजापुरमण्डलम्	Distretto di Shajapur
शामली	Shamli
श्वेताश्वतरोपनिषत्	Śvetāśvatara Upaniṣad
राजगढ	Rajgarh (Rajgarh)
सौबल	Calistenia
नञ्जनगूडु	Nanjangud
दमोहमण्डलम्	Distretto di Damoh
खलिलाबाद्, भारतम्	Khalilabad
सीधी	Sidhi
भीमुनिपट्टणम्	Bheemunipatnam
उमरिया	Umaria
डिण्डोरी-नगरम्	Dindori
शहडोल	Shahdol
ग्वालियर् दुर्गम्	Forte di Gwalior
स्कन्दपुराणम्	Skanda Purāṇa
कोलारमण्डलम्	Distretto di Kolar
वेदान्तः	Vedānta
लिङ्गपुराणम्	Liṅga Purāṇa
आनन्दवर्धनः	Anandavardhana
ओट्टापालम	Ottappalam
वडनगरम्	Vadnagar
मोढेरा सूर्यमन्दिरम्	Tempio del Sole (Modhera)
सारिस्का मृगधाम	Parco nazionale di Sariska
लोनार् क्रेटर्	Lago del cratere Lonar
मातृगया (सिद्धपुरम्)	Sidhpur
बान्दा, उत्तरप्रदेशः	Banda (Uttar Pradesh)
साइहा	Saiha
सतनामण्डलम्	Distretto di Satna
रायगडामण्डलम् (ओड़िशा)	Distretto di Rayagada
गुल्बर्गामण्डलम्	Distretto di Gulbarga
अलीराजपुरमण्डलम्	Distretto di Alirajpur
लल्लेश्वरी	Lalla (poetessa)
सिङ्गरौलीमण्डलम्	Distretto di Singrauli
गुरु रामानन्द	Rāmānanda
दिल्वारामन्दिरम्	Dilwara
विकिपीडिया:वैज्ञानिक-शब्दावलिः/F	Pramana
उपनयनसंस्कारः	Upanayana
अलवर	Alwar
जाती	Myristica fragrans
कुङ्कुमम्	Zafferano (colore)
‌सेरसिप	Serchhip
विद्यारण्य	Vidyaranya
कारवारम्	Karwar
कोचबिहारमण्डलम्	Distretto di Cooch Behar
चन्दौली	Chandauli
चन्दौलीमण्डलम्	Distretto di Chandauli
हमीरपुरम्, उत्तरप्रदेशः	Hamirpur (Uttar Pradesh)
कादम्बरी	Kādambari
तिलः	Sesamum indicum
मण्ड्यमण्डलम्	Distretto di Mandya
जम्मू	Divisione del Jammu
अष्टाध्यायी	Aṣṭādhyāyī
वर्गः:महाद्वीपः	Categoria:Continenti
पीलीभीतमण्डलम्	Distretto di Pilibhit
कुलुमण्डलम्	Distretto di Kullu
सोलन् मण्डलम्	Distretto di Solan
जामनगरमण्डलम्	Distretto di Jamnagar
द्वैतदर्शनम्	Dvaita
भारतपाकिस्थानयुद्धम्	Guerre indo-pakistane
गुण्टूरुमण्डलम्	Guntur
फलकम्:Solar System	Template:Sistema solare
विकिपीडिया:लेखशीर्षकः	Wikipedia:Titolo della voce
विक्रमादित्यः (नौयानम्)	INS Vikramaditya
बिलियर्ड्स्-क्रीडा	Biliardo
रेडी (चलच्चित्रम्)	Ready (film)
दशकुमारचरितम्	Daśakumāracarita
मैक्रोनीशिया	Micronesia
बोधायनः	Baudhāyana
कैलाश सत्यार्थी	Kailash Satyarthi
बिजापुरम्	Bijapur
भीमः	Bhima
नवगढ	Navgarh
बिलासपुरमण्डलम्, हिमाचलप्रदेशः	Distretto di Bilaspur
क्षेमेन्द्रः	Kṣemendra
लौङ्गत्लाय	Lawngtlai
Chanakya	Disastro
मयूरः	Pavo
वर्गः:देश	Categoria:Nazioni
विकिपीडिया:प्रबंधक	Wikipedia:Amministratori
विकिपीडियासम्भाषणम्:प्रबन्धकः	Wikipedia:Amministratori/Candidati
वर्गः:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
ईजिप्तदेशः	Egitto
रवीन्द्रप्रभात:	Ravindra Prabhat
फलकम्:Bot	Template:Bot
केनडा	Canada
वर्गः:निर्वाचित लेख	Categoria:Voci in vetrina
वर्गः:युरोपखण्डः	Categoria:Europa
फलकम्:Documentation	Template:Man
वर्गः:Delete	Categoria:Cancellazioni
विकिपीडिया:स्तम्भपञ्चकम्	Wikipedia:Cinque pilastri
विकिपीडिया:उल्लेख्यता	Aiuto:Cosa mettere su Wikipedia
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Wikipedia:Info utente
सङ जेगी	Sung Jae-gi
फलकम्:Softredirect	Template:Soft redirect
फलकम्:अपाक्रियताम्	Template:Cancella subito
वर्गः:विकिपीडिया	Categoria:Wikipedia
विकिपीडिया:General disclaimer	Wikipedia:Avvertenze generali
विकिपीडिया:शैलीपुस्तकम्	Aiuto:Manuale di stile
फलकम्:Navbox	Template:Navbox
गहनचिकित्साविभागः	Terapia intensiva
मालकानगिरिमण्डलम्	Distretto di Malkangiri
फलकम्:Citation needed	Template:Citazione necessaria
फलकम्:Error	Template:Errore template
फलकम्:Tnavbar	Template:Tnavbar
फलकम्:Sc	Template:Maiuscoletto
फलकम्:Clear	Template:Clear
फलकम्:Col-break	Template:Colonne spezza
फलकम्:Col-end	Template:Colonne fine
फलकम्:Nowrap	Template:Tutto attaccato
विकिपीडिया:प्रारम्भिक-विषयाः	Wikipedia:Lista delle voci che tutte le Wikipedie dovrebbero avere
फलकम्:Wikisource	Template:Wikisource
फलकम्:Babel	Template:Babel
फलकम्:Commons	Template:Commons
फलकम्:Link GA	Template:Link VdQ
फलकम्:Reflist	Template:References
फलकम्:अपूर्णलेखः	Template:S
फलकम्:User az	Template:Utente az
फलकम्:See also	Template:Vedi anche
फलकम्:User da	Template:Utente da
फलकम्:User de	Template:Utente de
फलकम्:User de-1	Template:Utente de-1
फलकम्:User eu	Template:Utente eu
फलकम्:User el	Template:Utente el
फलकम्:User es	Template:Utente es
फलकम्:User en-3	Template:Utente en-3
फलकम्:User en-1	Template:Utente en-1
फलकम्:User en-2	Template:Utente en-2
फलकम्:User en-4	Template:Utente en-4
फलकम्:User fi	Template:Utente fi
फलकम्:User en	Template:Utente en
फलकम्:User fr-1	Template:Utente fr-1
फलकम्:User hi-1	Template:Utente hi-1
फलकम्:User hr	Template:Utente hr
फलकम्:User hu	Template:Utente hu
फलकम्:User ja	Template:Utente ja
फलकम्:User fr	Template:Utente fr
फलकम्:Intricate template	Template:Template complesso
फलकम्:Mod	Template:Mod
फलकम्:NowCommons	Template:NowCommons
फलकम्:User it	Template:Utente it
फलकम्:User uk	Template:Utente uk
फलकम्:Infobox football club	Template:Squadra di calcio
फलकम्:स्वागतम्	Template:Benvenuto
फलकम्:भ्रातृपरियोजनाः	Template:PaginaPrincipale/Progetti
फलकम्:आङ्ग्लमासस्य शीर्षम्	Template:Mesi
फलकम्:Cc-by-sa-3.0	Template:Cc-by-sa-3.0
फलकम्:अफ्रीकाखण्डः	Template:Africa
फलकम्:Infobox musical artist	Template:Artista musicale
फलकम्:Wait	Template:WIP
फलकम्:देश	Template:Stato
फलकम्:Infobox software	Template:Software
फलकम्:Infobox Airline	Template:Infobox compagnia aerea
फलकम्:Wide image	Template:Immagine grande
फलकम्:Infobox military conflict	Template:Infobox conflitto
फलकम्:Str left	Template:Str left
फलकम्:Audio	Template:Link audio
फलकम्:Infobox Indian political party	Template:Partito politico
फलकम्:S-start	Template:S-inizio
फलकम्:Age in years and days	Template:Età e giorni
फलकम्:Nom	Template:Nomination
फलकम्:Cleanup	Template:Organizzare
फलकम्:Featured article	Template:Vetrina
फलकम्:Infobox monarch	Template:Monarca
फलकम्:Box-Header	Template:Box-testata
फलकम्:Infobox award	Template:Festival musicale
वर्गः:User en-2	Categoria:Utenti en-2
फलकम्:Infobox	Template:Infobox
फलकम्:Navy	Template:Insegna navale
फलकम्:User zh	Template:Utente zh
फलकम्:Sp	Template:Sp
फलकम्:Cite web	Template:Cita web
फलकम्:Imdb title	Template:Imdb
फलकम्:Cc-by-2.5	Template:Cc-by-2.5
फलकम्:Won	Template:Won
फलकम्:Pp-template	Template:Pp-template
फलकम्:Infobox music festival	Template:Festival
शतवेधी	Cymbopogon
फलकम्:User ru	Template:Utente ru
फलकम्:IPA	Template:IPA
फलकम्:GFDL	Template:GFDL
फलकम्:Category redirect	Template:Categoria redirect
